res_time,equiv,conc,temp
0.51875,1.75,0.175,60.375
0.55625,1.25,0.415,109.875
0.59375,4.15,0.205,100.875
0.63125,4.55,0.425,51.375
0.66875,2.65,0.465,82.875
0.70625,2.05,0.275,35.625
0.74375,3.75,0.245,62.625
0.78125,2.35,0.155,96.375
0.81875,1.35,0.335,73.875
0.85625,3.45,0.435,103.125
0.89375,2.85,0.355,44.625
0.93125,3.15,0.105,71.625
0.96875,3.95,0.315,112.125
1.00625,4.45,0.145,37.875
1.04375,1.95,0.395,89.625
1.08125,4.95,0.265,78.375
1.11875,2.75,0.195,116.625
1.15625,4.05,0.495,58.125
1.19375,1.55,0.135,80.625
1.23125,3.55,0.385,33.375
1.26875,1.15,0.255,49.125
1.30625,4.75,0.365,118.875
1.34375,3.25,0.285,85.125
1.38125,4.35,0.455,94.125
1.41875,2.45,0.215,67.125
1.45625,3.65,0.115,107.625
1.49375,1.45,0.475,40.125
1.53125,3.85,0.405,76.125
1.56875,4.85,0.325,46.875
1.60625,2.15,0.345,105.375
1.64375,1.65,0.225,31.125
1.68125,3.05,0.485,114.375
1.71875,3.35,0.185,53.625
1.75625,1.05,0.305,91.875
1.79375,1.85,0.445,64.875
1.83125,4.65,0.165,87.375
1.86875,2.25,0.125,42.375
1.90625,2.95,0.235,98.625
1.94375,4.25,0.295,69.375
1.98125,2.55,0.375,55.875
