res_time,equiv,conc,temp
0.7620057,4.125403,0.416571,50.06177
1.6634598,1.462351,0.227032,75.58007
0.9124563,1.613779,0.2752517,60.71046
1.5223013,3.344622,0.1267501,42.86412
1.2050736,3.820522,0.3859064,118.8544
1.2825011,2.337596,0.3452788,71.85038
1.8093147,1.200568,0.4339613,86.10481
0.9742227,2.7719,0.2826455,109.20305
1.4043598,1.990593,0.184606,38.6841
1.7057931,3.68682,0.2562779,66.52953
0.7146418,4.343875,0.1166682,102.3522
1.1112486,4.545927,0.306911,65.06619
1.907843,2.90169,0.1582012,94.61485
0.833052,1.187838,0.3679081,55.18044
1.3864049,4.941196,0.2107171,101.51952
1.9936289,2.525982,0.4626824,45.47445
0.5135506,3.539096,0.4499017,90.07473
0.642947,4.600741,0.3240762,33.71877
1.5860413,3.175154,0.4949314,111.2746
1.0264472,2.129538,0.1668502,81.41098
