res_time,equiv,conc,temp
1.9177024,3.386142,0.3795217,52.53749
1.6859097,2.100832,0.1422024,76.9006
1.0732417,1.839426,0.1080418,68.73006
0.7235266,2.325194,0.38317,83.38934
1.4045944,1.051021,0.4523038,65.22799
0.9269884,2.919671,0.1823711,31.67032
1.3376259,4.63098,0.1371825,71.76505
1.0184366,4.266335,0.1640728,97.01456
1.1325472,4.970193,0.43468,90.63095
1.7122821,4.593923,0.3190495,40.4911
1.5798409,3.028792,0.2608974,111.93083
1.5298767,1.516473,0.3260346,105.69936
0.7296356,3.640654,0.2849965,44.90826
1.8377942,1.610713,0.2132068,38.65784
1.9837431,3.986633,0.2503502,97.66866
1.258043,3.413974,0.4669152,59.85524
0.6050199,2.420427,0.2328068,108.28114
1.2432886,2.73048,0.4864141,116.65379
0.5179451,4.180509,0.4069174,85.71632
0.82837,1.30833,0.34811,49.03813
