res_time,equiv,conc,temp
0.9865092,2.496315,0.3927572,85.57091
1.7840883,1.313728,0.2534913,48.92031
1.919296,2.916572,0.3696743,39.23659
1.341095,4.27487,0.3390254,44.03101
0.7357475,4.03087,0.1725902,32.37581
1.6247279,1.60983,0.2893119,112.50744
1.7488069,2.225842,0.2214644,61.73321
1.1081799,1.803117,0.2071533,106.53324
0.8296205,4.88119,0.4723335,72.29475
1.2128718,4.477514,0.2674239,77.08232
1.6886048,3.688406,0.4554971,100.91678
0.5172534,1.518101,0.48155,57.695
0.5982814,1.167062,0.1508722,90.69105
1.9940191,3.005001,0.405668,36.05172
1.4795173,2.130388,0.1071901,116.53374
1.3025507,3.912071,0.3074598,54.86534
1.4635772,3.436856,0.3461141,102.04427
0.9449968,2.788585,0.1397102,81.57958
1.051731,4.724976,0.1962641,93.20278
0.6786312,3.352407,0.4360231,68.27033
